company,company_website,contact_url,contact_type,email,is_generic,evidence,source
Nemetschek SE,http://www.nemetschek.com,http://www.nemetschek.com/en/contact,contact,contact@nemetschek.com,True,"0459-0 |&nbsp;Fax +49 89 540459-444 |&nbsp;E-Mail: <a href=""contact@nemetschek.com""><span class=""__cf_email__"" data-cfemail=""14777b7a607577605",company_site
Nemetschek SE,http://www.nemetschek.com,http://www.nemetschek.com/en/company/about-us,other,,,contact page discovered (no email found),company_site
Nemetschek SE,http://www.nemetschek.com,http://www.nemetschek.com/en/news-media/events,press,,,contact page discovered (no email found),company_site
Nemetschek SE,http://www.nemetschek.com,http://www.nemetschek.com/en/news-media/topics,press,,,contact page discovered (no email found),company_site
Nemetschek SE,http://www.nemetschek.com,http://www.nemetschek.com/en/news-media/newsroom,press,,,contact page discovered (no email found),company_site
Nemetschek SE,http://www.nemetschek.com,http://www.nemetschek.com/en/news-media/contacts,press,,,contact page discovered (no email found),company_site
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,https://www.skbwitten.de/,https://www.skbwitten.de/impressum.html,press,info@skbwitten.de,True,")2302 93030-0</p><p>Fax: +49 (0)2302 93030-34</p><p>E-Mail: info@skbwitten.de</p></div></div><div class=""render-containerClasses-containe",company_site
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,https://www.skbwitten.de/,https://www.skbwitten.de/firmenkunden.html,investor_relations,,,contact page discovered (no email found),company_site
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,https://www.skbwitten.de/,https://www.skbwitten.de/firmenkunden/zahlungsverkehr/uebersicht.html,investor_relations,,,contact page discovered (no email found),company_site
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,https://www.skbwitten.de/,https://www.skbwitten.de/firmenkunden/vermoegen-eigenkapital/uebersicht.html,investor_relations,,,contact page discovered (no email found),company_site
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,https://www.skbwitten.de/,https://www.skbwitten.de/firmenkunden/vermoegen-eigenkapital/produkte/firmentagesgeld.html,investor_relations,,,contact page discovered (no email found),company_site
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,https://www.skbwitten.de/,https://www.skbwitten.de/firmenkunden/vermoegen-eigenkapital/produkte/firmenkunden-fonds.html,investor_relations,,,contact page discovered (no email found),company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,https://bbg-eg.de/kontakt/verwaltung/,investor_relations,kerstin.kirsch@bbg-eg.de,True,"data-av_icon="""" data-av_iconfont=""entypo-fontello""></span> kerstin.kirsch@bbg-eg.de</p> </div> <p><span class=""hidden team-member-affiliation"" ",company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,https://bbg-eg.de/kontakt/verwaltung/,investor_relations,miriam.barz@bbg-eg.de,True,"data-av_icon="""" data-av_iconfont=""entypo-fontello""></span> miriam.barz@bbg-eg.de</p> </div> <p><span class=""hidden team-member-affiliation"" ",company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,https://bbg-eg.de/kontakt/verwaltung/,contact,info@bbg-eg.de,True,"data-av_icon="""" data-av_iconfont=""entypo-fontello""></span> info@bbg-eg.de</p> </div> <p><span class=""hidden team-member-affiliation"" ",company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,https://bbg-eg.de/kontakt/verwaltung/,investor_relations,Nihal.Bilir-Kademliouglu@bbg-eg.de,True,"data-av_icon="""" data-av_iconfont=""entypo-fontello""></span> Nihal.Bilir-Kademliouglu@bbg-eg.de</p> </div> <p><span class=""hidden team-member-affiliation"" ",company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,https://bbg-eg.de/kontakt/verwaltung/,press,jacqueline.preuss@bbg-eg.de,True,"data-av_icon="""" data-av_iconfont=""entypo-fontello""></span> jacqueline.preuss@bbg-eg.de</p> </div> <p><span class=""hidden team-member-affiliation"" ",company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,https://bbg-eg.de/kontakt/ansprechpartnersuche/,press,,,contact page discovered (no email found),company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,https://bbg-eg.de/kontakt/anfahrtsbeschreibung/,contact,,,contact page discovered (no email found),company_site
Breitkopf & Härtel,http://www.breitkopf.com/,http://www.breitkopf.com/contact,contact,,,contact page discovered (no email found),company_site
Breitkopf & Härtel,http://www.breitkopf.com/,http://www.breitkopf.com/contact#form,contact,,,contact page discovered (no email found),company_site
Breitkopf & Härtel,http://www.breitkopf.com/,http://www.breitkopf.com/contact/review,contact,,,contact page discovered (no email found),company_site
Breitkopf & Härtel,http://www.breitkopf.com/,http://www.breitkopf.com/news/2024/jobs,careers,jobs@breitkopf.de,True, bitte möglichst bis zum 1. April eines Jahres per Email an jobs@breitkopf.de zu Händen von Herrn Sebastian Mohr. Bei Rückfragen stehen w,company_site
Breitkopf & Härtel,http://www.breitkopf.com/,http://www.breitkopf.com/contact/dealers,contact,,,contact page discovered (no email found),company_site
Academy for the Development of Human Potentials,https://akademiefuerpotentialentfaltung.org,https://akademiefuerpotentialentfaltung.org/kontakt/,contact,,,contact page discovered (no email found),company_site
Academy for the Development of Human Potentials,https://akademiefuerpotentialentfaltung.org,https://akademiefuerpotentialentfaltung.org/impressum/,press,,,contact page discovered (no email found),company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de,other,info@rundel.de,True,"images_global/logo.png"",""url"":""https://rundel.de/"",""email"":""info@rundel.de"",""foundingDate"":""1964"",""foundingLocation"":{""@type"":""Place"",",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de,other,u003einfo@rundel.de,True,"\nPlease send an email to \u003ca href=\""/en/kontakt/c-11\""\u003einfo@rundel.de\u003c/a\u003e or call us at \u003ca href=\""tel:004983959426",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/kontakt/c-11,contact,info@rundel.de,True,"images_global/logo.png"",""url"":""https://rundel.de/"",""email"":""info@rundel.de"",""foundingDate"":""1964"",""foundingLocation"":{""@type"":""Place"",",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/kontakt/c-11,contact,u003einfo@rundel.de,True,"\nPlease send an email to \u003ca href=\""/en/kontakt/c-11\""\u003einfo@rundel.de\u003c/a\u003e or call us at \u003ca href=\""tel:004983959426",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/mediathek/c-6,press,info@rundel.de,True,"images_global/logo.png"",""url"":""https://rundel.de/"",""email"":""info@rundel.de"",""foundingDate"":""1964"",""foundingLocation"":{""@type"":""Place"",",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/mediathek/c-6,press,u003einfo@rundel.de,True,"\nPlease send an email to \u003ca href=\""/en/kontakt/c-11\""\u003einfo@rundel.de\u003c/a\u003e or call us at \u003ca href=\""tel:004983959426",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/impressum/c-13,press,info@rundel.de,True,"images_global/logo.png"",""url"":""https://rundel.de/"",""email"":""info@rundel.de"",""foundingDate"":""1964"",""foundingLocation"":{""@type"":""Place"",",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/impressum/c-13,press,u003einfo@rundel.de,True,3e\u003cbr /\u003e\r\nEMAIL \u003ca href='/en/kontakt/c-11'\u003einfo@rundel.de\u003c/a\u003e\u003cbr /\u003e\r\n\u003ca href='/de/kontakt/,company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/media/media/953,press,info@rundel.de,True,"an></div><div class=""mb-3"">EMAIL <a href=""/de/kontakt/c-11"">info@rundel.de</a></div><div class=""text-dark""><strong>Wir sind für Sie da",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/media/media/953,press,u003einfo@rundel.de,True,"\nPlease send an email to \u003ca href=\""/en/kontakt/c-11\""\u003einfo@rundel.de\u003c/a\u003e or call us at \u003ca href=\""tel:004983959426",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/media/media/954,press,info@rundel.de,True,"an></div><div class=""mb-3"">EMAIL <a href=""/de/kontakt/c-11"">info@rundel.de</a></div><div class=""text-dark""><strong>Wir sind für Sie da",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/media/media/954,press,u003einfo@rundel.de,True,"\nPlease send an email to \u003ca href=\""/en/kontakt/c-11\""\u003einfo@rundel.de\u003c/a\u003e or call us at \u003ca href=\""tel:004983959426",company_site
Musikverlag RUNDEL GmbH,https://www.rundel.de,https://www.rundel.de/de/media/media/950,press,info@rundel.de,True,"an></div><div class=""mb-3"">EMAIL <a href=""/de/kontakt/c-11"">info@rundel.de</a></div><div class=""text-dark""><strong>Wir sind für Sie da",company_site
