subject_type,subject_name,predicate,object_type,object_name,reason,evidence,confidence,source,subject_wikidata,object_wikidata
person,Yves Padrines,ceo_of,company,Nemetschek SE,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100287880,http://www.wikidata.org/entity/Q666476
person,Yves Padrines,ceo_of,company,Nemetschek SE,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100287880,http://www.wikidata.org/entity/Q666476
person,Julius Heinrich Zimmermann,founded,company,Zimmermann,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100432,http://www.wikidata.org/entity/Q203704
person,Julius Heinrich Zimmermann,founded,company,Zimmermann,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100432,http://www.wikidata.org/entity/Q203704
person,Bund Freier evangelischer Gemeinden in Deutschland,founded,company,Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q1005088,http://www.wikidata.org/entity/Q1589571
person,Gabriel Wohlgemuth,founded,company,Bbg Berliner Baugenossenschaft,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100523306,http://www.wikidata.org/entity/Q812774
person,Gabriel Wohlgemuth,founded,company,Bbg Berliner Baugenossenschaft,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100523306,http://www.wikidata.org/entity/Q812774
person,Gabriel Wohlgemuth,founded,company,Bbg Berliner Baugenossenschaft,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100523306,http://www.wikidata.org/entity/Q812774
person,Hermann Berthold,founded,company,Berthold Type Foundry,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100623,http://www.wikidata.org/entity/Q318732
person,Hermann Berthold,founded,company,Berthold Type Foundry,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100623,http://www.wikidata.org/entity/Q318732
person,Hermann Berthold,founded,company,Berthold Type Foundry,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100623,http://www.wikidata.org/entity/Q318732
person,Hermann Berthold,founded,company,Berthold Type Foundry,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100623,http://www.wikidata.org/entity/Q318732
person,Hermann Berthold,founded,company,Berthold Type Foundry,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100623,http://www.wikidata.org/entity/Q318732
person,Hermann Berthold,founded,company,Berthold Type Foundry,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100623,http://www.wikidata.org/entity/Q318732
person,Guido Henkel,founded,company,Dragonware,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100713,http://www.wikidata.org/entity/Q123019764
person,Bernhard Christoph Breitkopf,founded,company,Breitkopf & Härtel,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100748,http://www.wikidata.org/entity/Q634246
person,Bernhard Christoph Breitkopf,founded,company,Breitkopf & Härtel,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100748,http://www.wikidata.org/entity/Q634246
person,Carl Henschel,founded,company,Henschel & Sohn,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100771,http://www.wikidata.org/entity/Q163580
person,Carl Henschel,founded,company,Henschel & Sohn,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100771,http://www.wikidata.org/entity/Q163580
person,Carl Henschel,founded,company,Henschel & Sohn,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100771,http://www.wikidata.org/entity/Q163580
person,Carl Henschel,founded,company,Henschel & Sohn,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100771,http://www.wikidata.org/entity/Q163580
person,Carl Henschel,founded,company,Henschel & Sohn,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q100771,http://www.wikidata.org/entity/Q163580
