person_name,role,company,company_country,industry,person_website,company_website,linkedin_profile,company_linkedin,wikidata_person,wikidata_company,info_link,cluster_id,cluster_label,cluster_reason,best_contact_email,best_contact_url,best_contact_type,sources
Yves Padrines,CEO,Nemetschek SE,Germany,,,http://www.nemetschek.com,https://www.linkedin.com/in/yves-padrines,,http://www.wikidata.org/entity/Q100287880,http://www.wikidata.org/entity/Q666476,https://www.google.com/search?q=Yves+Padrines+Nemetschek+SE,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",contact@nemetschek.com,http://www.nemetschek.com/en/contact,contact,wikidata
Julius Heinrich Zimmermann,Founder,Zimmermann,Germany,,,https://www.musikverlag-zimmermann.de/,,,http://www.wikidata.org/entity/Q100432,http://www.wikidata.org/entity/Q203704,https://www.google.com/search?q=Julius+Heinrich+Zimmermann+Zimmermann,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Bund Freier evangelischer Gemeinden in Deutschland,Founder,Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden,Germany,,https://www.feg.de/,https://www.skbwitten.de/,,,http://www.wikidata.org/entity/Q1005088,http://www.wikidata.org/entity/Q1589571,https://www.google.com/search?q=Bund+Freier+evangelischer+Gemeinden+in+Deutschland+Spar-+und+Kreditbank+des+Bundes+Freier+evangelischer+Gemeinden,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@skbwitten.de,https://www.skbwitten.de/impressum.html,press,wikidata
Gabriel Wohlgemuth,Founder,Bbg Berliner Baugenossenschaft,Germany,,,https://bbg-eg.de/,,,http://www.wikidata.org/entity/Q100523306,http://www.wikidata.org/entity/Q812774,https://www.google.com/search?q=Gabriel+Wohlgemuth+Bbg+Berliner+Baugenossenschaft,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",kerstin.kirsch@bbg-eg.de,https://bbg-eg.de/kontakt/verwaltung/,investor_relations,wikidata
Hermann Berthold,Founder,Berthold Type Foundry,Germany,foundry,,,,,http://www.wikidata.org/entity/Q100623,http://www.wikidata.org/entity/Q318732,https://www.google.com/search?q=Hermann+Berthold+Berthold+Type+Foundry,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Guido Henkel,Founder,Dragonware,Germany,,https://guidohenkel.com/,,https://www.linkedin.com/in/guidohenkel,,http://www.wikidata.org/entity/Q100713,http://www.wikidata.org/entity/Q123019764,https://www.google.com/search?q=Guido+Henkel+Dragonware,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Bernhard Christoph Breitkopf,Founder,Breitkopf & Härtel,Germany,music industry,,http://www.breitkopf.com/,,,http://www.wikidata.org/entity/Q100748,http://www.wikidata.org/entity/Q634246,https://www.google.com/search?q=Bernhard+Christoph+Breitkopf+Breitkopf+%26+H%C3%A4rtel,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",jobs@breitkopf.de,http://www.breitkopf.com/news/2024/jobs,careers,wikidata
Carl Henschel,Founder,Henschel & Sohn,Germany,mechanical engineering,,,,,http://www.wikidata.org/entity/Q100771,http://www.wikidata.org/entity/Q163580,https://www.google.com/search?q=Carl+Henschel+Henschel+%26+Sohn,C0015,,"Shared group: industries=mechanical engineering; countries=Germany; companies=Opel, Linde",,,,wikidata
Gerald Hüther,Founder,Academy for the Development of Human Potentials,Germany,,https://www.gerald-huether.de/,https://akademiefuerpotentialentfaltung.org,,https://www.linkedin.com/company/akademie-potentialentfaltung,http://www.wikidata.org/entity/Q100836,http://www.wikidata.org/entity/Q116140772,https://www.google.com/search?q=Gerald+H%C3%BCther+Academy+for+the+Development+of+Human+Potentials,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://akademiefuerpotentialentfaltung.org/impressum/,press,wikidata
Siegfried Rundel,Founder,Musikverlag RUNDEL GmbH,Germany,,,https://www.rundel.de,,,http://www.wikidata.org/entity/Q100890,http://www.wikidata.org/entity/Q64223675,https://www.google.com/search?q=Siegfried+Rundel+Musikverlag+RUNDEL+GmbH,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@rundel.de,https://www.rundel.de/de/mediathek/c-6,press,wikidata
