company,company_website,company_domain,best_contact_type,best_contact_email,best_contact_url,best_score,alt_emails,alt_urls,evidence_clean,source
3PO Architekten,https://www.3po.de,3po.de,press,,https://www.3po.de/impressum/,4,,https://www.3po.de/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.4,contact page discovered (no email found),company_site
Academy for the Development of Human Potentials,https://akademiefuerpotentialentfaltung.org,akademiefuerpotentialentfaltung.org,press,,https://akademiefuerpotentialentfaltung.org/impressum/,4,,https://akademiefuerpotentialentfaltung.org/kontakt/,contact page discovered (no email found),company_site
Accentus Music,http://accentus.com,accentus.com,contact,info@accentus.com,https://accentus.com/contact,13,info@accentus.com | info@accentus.com | info@accentus.com,https://accentus.com/contact/ | http://accentus.com | https://accentus.com/happy-birthday-herbert-blomstedt/,info@accentus.com,company_site
Accidental Queens,http://accidentalqueens.com/,accidentalqueens.com,press,contact@accidentalqueens.com,https://accidentalqueens.com/press,15,contact@accidentalqueens.com,http://accidentalqueens.com/,/dt> contact@accidentalqueens.com,company_site
Aixtron SE,http://www.aixtron.com,aixtron.com,press,media--12cc4a8d--query@2x.c0f9849e.jpg,http://www.aixtron.com,14,,,"nt-image-text-top/Market%20Share%202023%20%28gartner%29_2~-~media--12cc4a8d--query@2x.c0f9849e.jpg 2x"" media=""639w"" width=""640"" height=""360"" type=""image/jpeg""",company_site
Akkord Film Produktion,https://akkord.film/,akkord.film,contact,info@akkord.film,https://akkord.film/contact/,14,,https://akkord.film/about/ | https://akkord.film/team-3/ | https://akkord.film/wp-content/plugins/malinky-ajax-pagination/css/style.css.pagespeed.ce.Qua06q1iR_.css,"60 98 98 030 Fax +49 30 – 25 74 29 30 Email info@akkord.film <script type=""text/javas",company_site
Alesco,http://www.alesco.net,alesco.net,press,info@alesco.net,http://www.alesco.net/de/impressum,15,info@alesco.net | info@alesco.net | info@alesco.net,http://www.alesco.net/de/unternehmen | http://www.alesco.net/de/kontakt | http://www.alesco.net,(02423) 402-102 E-Mail: mailto: info@alesco.net Fir,company_site
AMALYTIX,https://www.amalytix.com,amalytix.com,press,info@amalytix.com,https://www.amalytix.com/ueber-uns/impressum/,15,info@amalytix.com,https://www.amalytix.com | https://www.amalytix.com/ueber-uns/team/,ontakt Telefon: +49 (0) 221-29 19 12 32 E-Mail: info@amalytix.com Umsatzsteuer-ID Umsatzsteuer-Identifikation,company_site
Antiquariat Sander,https://www.antiquariat-sander.de/,antiquariat-sander.de,press,info@antiquariat-sander.de,https://www.antiquariat-sander.de/impressum/,15,info@antiquariat-sander.de,https://www.antiquariat-sander.de/ | https://www.antiquariat-sander.de/wp-content/themes/generatepress_child/style.css?ver=1648553349 | https://www.antiquariat-sander.de/wp-content/themes/generatepress/assets/css/main.min.css?ver=3.2.4,796 096 07 E-Mail: info@antiquariat-sander.de Internet: www.anti,company_site
Armor,https://www.armor-group.com/fr,armor-group.com,legal,contact@armor-group.com,https://www.armor-group.com/mentions-legales,13,,https://www.armor-group.com/contact | https://www.armor-group.com/armorgroup/services-consommables-dimpression | https://www.armor-group.com/engagements/economie-circulaire,"social : 20 rue Chevreul, 44100 Nantes, France. Email : contact@armor-group.com - Tél. : +33 (0)2 40 38 40 00 Numéro de TVA intracommun",company_site
Arri,https://www.arri.com/en,arri.com,sales_partnership,sales@abelcine.com,https://www.arri.com/en/contact,15,sales@adorama.com | info@ctsales.ie | sales@cvp.com,https://www.arri.com/en/contact | https://www.arri.com/en/contact | https://www.arri.com/en/contact,"050"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""sales@abelcine.com"", ""website"": ""https://www.abelcine.com"", ""longitude"": ""-87.",company_site
Asobo Studio,http://www.asobostudio.com/,asobostudio.com,contact,,http://www.asobostudio.com/team,3,,http://www.asobostudio.com/about-us | http://www.asobostudio.com/contact-us | http://www.asobostudio.com/news/microsoft-flight-simulator-press-feedback,contact page discovered (no email found),company_site
ASSU 2000,https://agence.assu2000.fr/,assu2000.fr,contact,,https://agence.assu2000.fr/pays-de-la-loire,3,,https://agence.assu2000.fr/centre-val-de-loire | https://agence.assu2000.fr/pays-de-la-loire/mayenne | https://agence.assu2000.fr/pays-de-la-loire/maine-et-loire,contact page discovered (no email found),company_site
Astragon,http://www.astragon.de/,astragon.de,press,info@astragon.de,http://www.astragon.de/impressum,15,,http://www.astragon.de/unternehmen/team | http://www.astragon.de/pressemitteilungen | http://www.astragon.de/kontakt,211 540515-0 Telefax: +49 (0) 211 540515-18 E-Mail: info@astragon.de Handelsregister Amtsgericht Düsseldorf HRB 8790,company_site
ATC Architecture,https://atc-architecture.com/,atc-architecture.com,legal,,https://atc-architecture.com/mentions-legales/,2,,,contact page discovered (no email found),company_site
Atelier 801,https://atelier801.com,atelier801.com,contact,,https://atelier801.com/contact,3,,,contact page discovered (no email found),company_site
Atelier Kaiser Shen,https://atelierkaisershen.de/,atelierkaisershen.de,careers,jobs@atelierkaisershen.com,https://atelierkaisershen.de/,13,info@atelierkaisershen.com,https://atelierkaisershen.de/,sproben und Eintrittstermin. Bitte per E-Mail (max. 10 MB): jobs@atelierkaisershen.com Offene Stelle Architekt*in (m/w/d): Zum nächst,company_site
Audi AG,https://www.audi.co.za/,co.za,contact,,https://www.audi.co.za/en/Contact-us/,3,,https://www.audi.co.za/en/about-audi/about-us/ | https://www.audi.co.za/en/careers/ | https://www.audi.co.za/en/audi-service/approved-motor-body-repairers/,contact page discovered (no email found),company_site
August Brötje GmbH,http://www.broetje.de/,broetje.de,press,presse@broetje.de,http://www.broetje.de/unternehmen/presse,15,,http://www.broetje.de/unternehmen | http://www.broetje.de/unternehmen/blog | http://www.broetje.de/unternehmen/ueber-uns,"-wrapper flex-grow max-w-none md:max-w-max""><a href=""mailto:presse@broetje.de"" class=""button medium fa-solid fa-envelope"" title="""" target",company_site
AURORA Konrad G. Schulz GmbH & Co. KG,https://www.aurora-eos.com,aurora-eos.com,press,info@aurora-eos.com,https://www.aurora-eos.com/de/impressum,15,info@aurora-eos.com | info@aurora-eos.com | info@aurora-eos.com,https://www.aurora-eos.com/de/unternehmen/ueber-uns | https://www.aurora-eos.com/de/unternehmen/nachhaltigkeit | https://www.aurora-eos.com/de/kontakt,br>Telefax: +49 (0) 6284 9202-99 E-Mail: info@aurora-eos.com Umsatzsteuer,company_site
AXA,https://www.axa.com/,axa.com,press,privacy@axa.com,https://www.axa.com/en/press/events,13,privacy@axa.com | privacy@axa.com | privacy@axa.com,https://www.axa.com/en/press/publications | https://www.axa.com/en/press/leaders-voice | https://www.axa.com/en/press/press-releases,"our consent at any time by contacting the following address privacy@axa.com, but only where the processing of your personal data is bas",company_site
Bahlsen,https://www.bahlsen.com,bahlsen.com,press,,https://www.bahlsen.com/_next/static/media/f708e3cfcc2bb142.p.otf,3,,https://www.bahlsen.com/_next/static/media/184d02a2c7e73841-s.p.otf | https://www.bahlsen.com/_next/static/media/fdb507255be949c4-s.p.woff | https://www.bahlsen.com/_next/static/media/c259cdb428baa629-s.p.woff2,contact page discovered (no email found),company_site
Bain & Company,https://www.bain.com/,bain.com,contact,,https://www.bain.com/about/,3,,https://www.bain.com/about/offices/ | https://www.bain.com/about/further/ | https://www.bain.com/about/what-we-do/,contact page discovered (no email found),company_site
Bakery Andresen,https://baecker-andresen.de,baecker-andresen.de,press,,https://baecker-andresen.de/de/impressum,4,,https://baecker-andresen.de/de/unternehmen | https://baecker-andresen.de/de/unternehmen/historie | https://baecker-andresen.de/de/kontakt,contact page discovered (no email found),company_site
Barclay & Crousse Architecture,https://www.barclaycrousse.com/?msclkid=a0219588cea111ecbf22a2016c451b90,barclaycrousse.com,contact,info@barclaycrousse.com,https://www.barclaycrousse.com/contact,13,,,"ap;""> info@barclaycrousse.com",company_site
Bau- und Liegenschaftsbetrieb Nordrhein-Westfalen,https://www.blb.nrw.de/,nrw.de,press,info@blb.nrw.de,https://www.blb.nrw.de/impressum,14,presse@blb.nrw.de | kontakt@boehme-law.de,https://www.blb.nrw.de/presse/presseteam | https://www.blb.nrw.de/kontakt | https://www.blb.nrw.de/presse,bsp;mit uns auf. info@blb.nrw.de,company_site
