company,company_website,company_domain,contact_url,contact_type,email,email_domain,is_generic,dropped_third_party_email,evidence_clean,source,score
3PO Architekten,https://www.3po.de,3po.de,https://www.3po.de/impressum/,press,,,False,False,contact page discovered (no email found),company_site,4
3PO Architekten,https://www.3po.de,3po.de,https://www.3po.de/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.4,contact,,,False,False,contact page discovered (no email found),company_site,2
Academy for the Development of Human Potentials,https://akademiefuerpotentialentfaltung.org,akademiefuerpotentialentfaltung.org,https://akademiefuerpotentialentfaltung.org/impressum/,press,,,False,False,contact page discovered (no email found),company_site,4
Academy for the Development of Human Potentials,https://akademiefuerpotentialentfaltung.org,akademiefuerpotentialentfaltung.org,https://akademiefuerpotentialentfaltung.org/kontakt/,contact,,,False,False,contact page discovered (no email found),company_site,3
Accentus Music,http://accentus.com,accentus.com,https://accentus.com/contact,contact,info@accentus.com,accentus.com,True,False,info@accentus.com,company_site,13
Accentus Music,http://accentus.com,accentus.com,https://accentus.com/contact/,contact,info@accentus.com,accentus.com,True,False,info@accentus.com,company_site,13
Accentus Music,http://accentus.com,accentus.com,http://accentus.com,other,info@accentus.com,accentus.com,True,False,info@accentus.com,company_site,12
Accentus Music,http://accentus.com,accentus.com,https://accentus.com/happy-birthday-herbert-blomstedt/,other,info@accentus.com,accentus.com,True,False,info@accentus.com,company_site,11
Accentus Music,http://accentus.com,accentus.com,https://accentus.com/productions/we-are-on-air-100-years-of-radio-orchestras/,other,info@accentus.com,accentus.com,True,False,info@accentus.com,company_site,11
Accidental Queens,http://accidentalqueens.com/,accidentalqueens.com,https://accidentalqueens.com/press,press,contact@accidentalqueens.com,accidentalqueens.com,True,False,/dt> contact@accidentalqueens.com,company_site,15
Accidental Queens,http://accidentalqueens.com/,accidentalqueens.com,http://accidentalqueens.com/,contact,contact@accidentalqueens.com,accidentalqueens.com,True,False,Contact <!-- Language dropd,company_site,14
Aixtron SE,http://www.aixtron.com,aixtron.com,http://www.aixtron.com,press,media--12cc4a8d--query@2x.c0f9849e.jpg,c0f9849e.jpg,True,False,"nt-image-text-top/Market%20Share%202023%20%28gartner%29_2~-~media--12cc4a8d--query@2x.c0f9849e.jpg 2x"" media=""639w"" width=""640"" height=""360"" type=""image/jpeg""",company_site,14
Akkord Film Produktion,https://akkord.film/,akkord.film,https://akkord.film/contact/,contact,info@akkord.film,akkord.film,True,False,"60 98 98 030 Fax +49 30 – 25 74 29 30 Email info@akkord.film <script type=""text/javas",company_site,14
Akkord Film Produktion,https://akkord.film/,akkord.film,https://akkord.film/about/,contact,,,False,False,contact page discovered (no email found),company_site,3
Akkord Film Produktion,https://akkord.film/,akkord.film,https://akkord.film/team-3/,contact,,,False,False,contact page discovered (no email found),company_site,3
Akkord Film Produktion,https://akkord.film/,akkord.film,https://akkord.film/wp-content/plugins/malinky-ajax-pagination/css/style.css.pagespeed.ce.Qua06q1iR_.css,contact,,,False,False,contact page discovered (no email found),company_site,2
Alesco,http://www.alesco.net,alesco.net,http://www.alesco.net/de/impressum,press,info@alesco.net,alesco.net,True,False,(02423) 402-102 E-Mail: mailto: info@alesco.net Fir,company_site,15
Alesco,http://www.alesco.net,alesco.net,http://www.alesco.net/de/unternehmen,sales_partnership,info@alesco.net,alesco.net,True,False,"423 402-101 E-Mail: info@alesco.net <div id="""" cla",company_site,15
Alesco,http://www.alesco.net,alesco.net,http://www.alesco.net/de/kontakt,contact,info@alesco.net,alesco.net,True,False,"423 402-101 E-Mail: info@alesco.net <div id="""" cla",company_site,14
Alesco,http://www.alesco.net,alesco.net,http://www.alesco.net,other,info@alesco.net,alesco.net,True,False,"423 402-101 E-Mail: info@alesco.net <div id="""" cla",company_site,13
Alesco,http://www.alesco.net,alesco.net,http://www.alesco.net/karriere/jobs,careers,info@alesco.net,alesco.net,True,False,"423 402-101 E-Mail: info@alesco.net <div id="""" cla",company_site,13
Alesco,http://www.alesco.net,alesco.net,http://www.alesco.net/de/aktuelles/details/alesco-dreamteam,other,info@alesco.net,alesco.net,True,False,"423 402-101 E-Mail: info@alesco.net <div id="""" cla",company_site,12
Alesco,http://www.alesco.net,alesco.net,http://www.alesco.net/de/aktuelles/details/aachener-firmenlauf-2025,other,info@alesco.net,alesco.net,True,False,"423 402-101 E-Mail: info@alesco.net <div id="""" cla",company_site,12
AMALYTIX,https://www.amalytix.com,amalytix.com,https://www.amalytix.com/ueber-uns/impressum/,press,info@amalytix.com,amalytix.com,True,False,ontakt Telefon: +49 (0) 221-29 19 12 32 E-Mail: info@amalytix.com Umsatzsteuer-ID Umsatzsteuer-Identifikation,company_site,15
AMALYTIX,https://www.amalytix.com,amalytix.com,https://www.amalytix.com,other,info@amalytix.com,amalytix.com,True,False,n Sie uns an! Tel. 0221-29 19 12 32 | info@amalytix.com,company_site,12
AMALYTIX,https://www.amalytix.com,amalytix.com,https://www.amalytix.com/ueber-uns/team/,contact,,,False,False,contact page discovered (no email found),company_site,3
Antiquariat Sander,https://www.antiquariat-sander.de/,antiquariat-sander.de,https://www.antiquariat-sander.de/impressum/,press,info@antiquariat-sander.de,antiquariat-sander.de,True,False,796 096 07 E-Mail: info@antiquariat-sander.de Internet: www.anti,company_site,15
Antiquariat Sander,https://www.antiquariat-sander.de/,antiquariat-sander.de,https://www.antiquariat-sander.de/,other,info@antiquariat-sander.de,antiquariat-sander.de,True,False,"81ed gb-headline-text link-none-decoration""> INFO@ANTIQUARIAT-SANDER.DE <",company_site,12
Antiquariat Sander,https://www.antiquariat-sander.de/,antiquariat-sander.de,https://www.antiquariat-sander.de/wp-content/themes/generatepress_child/style.css?ver=1648553349,press,,,False,False,contact page discovered (no email found),company_site,3
Antiquariat Sander,https://www.antiquariat-sander.de/,antiquariat-sander.de,https://www.antiquariat-sander.de/wp-content/themes/generatepress/assets/css/main.min.css?ver=3.2.4,press,,,False,False,contact page discovered (no email found),company_site,3
Armor,https://www.armor-group.com/fr,armor-group.com,https://www.armor-group.com/mentions-legales,legal,contact@armor-group.com,armor-group.com,True,False,"social : 20 rue Chevreul, 44100 Nantes, France. Email : contact@armor-group.com - Tél. : +33 (0)2 40 38 40 00 Numéro de TVA intracommun",company_site,13
Armor,https://www.armor-group.com/fr,armor-group.com,https://www.armor-group.com/contact,contact,,,False,False,contact page discovered (no email found),company_site,3
Armor,https://www.armor-group.com/fr,armor-group.com,https://www.armor-group.com/armorgroup/services-consommables-dimpression,press,,,False,False,contact page discovered (no email found),company_site,3
Armor,https://www.armor-group.com/fr,armor-group.com,https://www.armor-group.com/engagements/economie-circulaire,contact,,,False,False,contact page discovered (no email found),company_site,2
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@abelcine.com,abelcine.com,True,False,"050"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""sales@abelcine.com"", ""website"": ""https://www.abelcine.com"", ""longitude"": ""-87.",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@adorama.com,adorama.com,True,False,"500"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""sales@adorama.com"", ""website"": ""https://www.adorama.com/g/nyc-store"", ""longit",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,info@ctsales.ie,ctsales.ie,True,False,"20"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": "" info@ctsales.ie"", ""website"": """", ""longitude"": ""-6.12194"", ""latitude"": ""53.1",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@cvp.com,cvp.com,True,False,"400"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""sales@cvp.com"", ""website"": ""https://www.cvp.com"", ""longitude"": ""-0.323779",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,info@digitalresources.com,digitalresources.com,True,False,"ntry"": ""USA"", ""telephone1"": """", ""telephone2"": """", ""misc1"": ""info@digitalresources.com "", ""misc2"": """", ""email"": ""sales@digitalresources.com"", ""web",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@digitalresources.com,digitalresources.com,True,False,"isc1"": ""info@digitalresources.com "", ""misc2"": """", ""email"": ""sales@digitalresources.com"", ""website"": """", ""longitude"": ""-97.18433026006218"", ""latitu",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,press,sales@broadcast-media.eu,broadcast-media.eu,True,False,"e2"": """", ""misc1"": ""Mr. Koen Spruyt"", ""misc2"": """", ""email"": ""sales@broadcast-media.eu"", ""website"": ""https://www.broadcast-media.eu"", ""longitude"":",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@filmsuppliesonline.com.au,filmsuppliesonline.com.au,True,False,"e2"": """", ""misc1"": ""Mr. Lee Burling"", ""misc2"": """", ""email"": ""sales@filmsuppliesonline.com.au"", ""website"": ""https://filmsuppliesonline.com.au/"", ""longitu",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@filmtools.com,filmtools.com,True,False,"066"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""sales@filmtools.com"", ""website"": ""https://www.filmtools.com"", ""longitude"": ""-11",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@flash-light.co.uk,flash-light.co.uk,True,False,"one2"": """", ""misc1"": ""Mr. Andy Dodd"", ""misc2"": """", ""email"": ""sales@flash-light.co.uk"", ""website"": ""https://www.flash-light.co.uk"", ""longitude"":",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@in-motiongroup.com,in-motiongroup.com,True,False,"ne2"": """", ""misc1"": ""Mr. Vince Read"", ""misc2"": """", ""email"": ""sales@in-motiongroup.com"", ""website"": ""https://www.in-motiongroup.com"", ""longitude"":",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,sales@koto-jp.com,koto-jp.com,True,False,""", ""misc1"": ""Mr. Shinichiro Nakada"", ""misc2"": """", ""email"": ""sales@koto-jp.com"", ""website"": ""https://www.koto-jp.com"", ""longitude"": ""139.7",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,info@lightequip.de,lightequip.de,True,False,"ephone2"": """", ""misc1"": ""Sales Team"", ""misc2"": """", ""email"": ""info@lightequip.de"", ""website"": ""https://www.lightequip.de"", ""longitude"": ""6.8",company_site,15
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arri.de,arri.de,True,False,"9-0"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@arri.de"", ""website"": """", ""longitude"": """", ""latitude"": """", ""location",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info.sa@amt.tv,amt.tv,True,False,"804"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info.sa@amt.tv"", ""website"": ""https://ksa.amt.tv/"", ""longitude"": ""46.708041",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arri.com,arri.com,True,False,"sc1"": ""Mo. - Fr. 9:00 - 17:00 (PT)"", ""misc2"": """", ""email"": ""info@arri.com"", ""website"": """", ""longitude"": ""-118.351575"", ""latitude"": ""3",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arri.asia,arri.asia,True,False,"288"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@arri.asia"", ""website"": """", ""longitude"": ""114.2257218824"", ""latitude"":",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arri.com.au,arri.com.au,True,False,"300"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@arri.com.au"", ""website"": """", ""longitude"": ""151.14805870721605"", ""latitu",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arri.cn,arri.cn,True,False,"680"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@arri.cn"", ""website"": """", ""longitude"": ""116.454883"", ""latitude"": ""39",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arrifrance.com,arrifrance.com,True,False,"995"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@arrifrance.com"", ""website"": ""https://www.arri.com/arri-france"", ""longitude",company_site,14
